season,round,overall_pick,owner_raw,player_name,position
2015,16,,,,
2015,16,,,,
2015,16,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,1,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,2,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,3,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,4,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,5,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,6,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,7,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,8,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,9,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,10,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,11,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,12,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,13,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,14,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,15,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2016,16,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,1,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,2,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,3,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,4,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,5,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,6,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,7,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,8,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,9,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,10,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,11,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,12,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,13,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,14,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,15,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2017,16,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,1,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,2,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,3,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,4,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,5,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,6,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,7,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,8,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,9,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,10,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,11,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,12,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,13,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,14,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,15,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2018,16,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,1,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,2,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,3,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,4,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,5,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,6,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,7,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,8,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,9,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,10,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,11,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,12,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,13,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,14,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,15,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2019,16,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,1,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,2,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,3,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,4,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,5,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,6,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,7,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,8,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,9,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,10,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,11,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,12,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,13,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,14,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,15,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2020,16,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,1,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,2,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,3,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,4,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,5,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,6,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,7,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,8,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,9,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,10,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,11,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,12,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,13,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,14,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,15,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2021,16,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,1,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,2,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,3,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,4,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,5,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,6,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,7,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,8,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,9,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,10,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,11,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,12,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,13,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,14,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,15,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2022,16,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,1,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,2,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,3,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,4,,,,
2023,5,,,,
2023,5,,,,
2023,5,,,,
2023,5,,,,
2023,5,,,,
2023,5,,,,
